"rid";"_categories_rid";"_parent_rid";"level"
11339;161;87;1
11340;161;122;2
11341;169;87;1
11342;169;1152;2
11343;170;87;1
11344;170;127;2
11345;171;87;1
11346;171;127;2
11347;172;87;1
11348;172;127;2
11349;173;87;1
11350;173;127;2
11351;174;87;1
11352;174;127;2
11353;179;87;1
11354;179;1152;2
11355;180;87;1
11356;180;123;2
11357;181;87;1
11358;181;123;2
11359;183;87;1
11360;183;123;2
11361;184;87;1
11362;184;123;2
11363;185;87;1
11364;185;123;2
11365;186;87;1
11366;186;123;2
11367;187;87;1
11368;187;123;2
11369;188;87;1
11370;188;123;2
11371;189;87;1
11372;189;123;2
11373;190;87;1
11374;190;123;2
11375;191;87;1
11376;191;123;2
11377;192;87;1
11378;192;123;2
11379;193;87;1
11380;193;123;2
11381;194;87;1
11382;194;123;2
11383;195;87;1
11384;195;123;2
11385;196;87;1
11386;196;123;2
11387;197;87;1
11388;197;123;2
11389;198;87;1
11390;198;123;2
11391;199;87;1
11392;199;123;2
11393;200;106;1
11394;201;106;1
11395;202;106;1
11396;203;106;1
11397;204;106;1
11398;205;106;1
11399;206;106;1
11400;207;106;1
11401;208;106;1
11402;209;106;1
11403;210;106;1
11404;211;106;1
11405;212;106;1
11406;213;106;1
11407;214;106;1
11408;215;106;1
11409;216;106;1
11410;217;106;1
11411;218;106;1
11412;219;106;1
11413;220;106;1
11414;221;106;1
11415;222;106;1
11416;223;106;1
11417;223;205;2
11418;224;106;1
11419;224;205;2
11420;225;106;1
11421;225;205;2
11422;226;106;1
11423;226;205;2
11424;227;106;1
11425;227;205;2
11426;228;106;1
11427;228;205;2
11428;229;106;1
11429;229;205;2
11430;230;106;1
11431;230;205;2
11432;231;106;1
11433;231;205;2
11434;232;106;1
11435;232;205;2
11436;233;106;1
11437;233;205;2
11438;234;106;1
11439;234;205;2
11440;235;106;1
11441;235;205;2
11442;236;106;1
11443;236;205;2
11444;237;106;1
11445;237;205;2
11446;238;106;1
11447;238;205;2
11448;239;106;1
11449;239;212;2
11450;240;106;1
11451;240;212;2
11452;241;106;1
11453;241;212;2
11454;242;106;1
11455;242;212;2
11456;243;106;1
11457;243;212;2
11458;244;106;1
11459;244;212;2
11460;245;106;1
11461;245;212;2
11462;246;106;1
11463;246;212;2
11464;247;106;1
11465;247;212;2
11466;248;106;1
11467;248;212;2
11468;249;106;1
11469;249;212;2
11470;250;106;1
11471;250;212;2
11472;251;106;1
11473;251;212;2
11474;252;106;1
11475;252;214;2
11476;253;106;1
11477;253;214;2
11478;254;106;1
11479;254;214;2
11480;255;106;1
11481;255;214;2
11482;256;106;1
11483;256;214;2
11484;257;106;1
11485;257;214;2
11486;258;106;1
11487;258;214;2
11488;259;106;1
11489;259;214;2
11490;260;106;1
11491;260;214;2
11492;261;106;1
11493;261;214;2
11494;262;106;1
11495;262;214;2
11496;263;106;1
11497;263;214;2
11498;264;106;1
11499;264;207;2
11500;265;106;1
11501;265;207;2
11502;266;106;1
11503;266;207;2
11504;267;106;1
11505;267;207;2
11506;268;106;1
11507;268;207;2
11508;269;106;1
11509;269;207;2
11510;270;106;1
11511;270;207;2
11512;271;106;1
11513;271;207;2
11514;272;106;1
11515;272;207;2
11516;273;106;1
11517;273;207;2
11518;274;106;1
11519;274;207;2
11520;275;106;1
11521;275;207;2
11522;276;106;1
11523;276;207;2
11524;277;106;1
11525;277;207;2
11526;278;106;1
11527;278;208;2
11528;279;106;1
11529;279;208;2
11530;280;106;1
11531;280;208;2
11532;281;106;1
11533;281;209;2
11534;282;106;1
11535;282;209;2
11536;283;106;1
11537;283;209;2
