"rid";"_regions_rid";"name";"archive"
8;8;"Киев";false
9;8;"Борисполь";false
10;16;"Донецк";false
11;15;"Днепропетровск";false
12;12;"Симферополь";false
13;12;"Алушта";false
14;12;"Армянск";false
15;12;"Джанкой";false
16;12;"Евпатория";false
17;12;"Керчь";false
18;12;"Красноперекопск";false
19;12;"Саки";false
20;12;"Судак";false
21;12;"Феодосия";false
22;12;"Ялта";false
907;13;"Винница";false
908;13;"Жмеринка";false
909;13;"Козятин";false
910;13;"Ладыжин";false
911;13;"Могилев-Подольский";false
912;13;"Хмельник";false
913;14;"Луцк";false
914;14;"Владимир-Волынский";false
915;14;"Ковель";false
916;14;"Нововолынск";false
917;15;"Вольногорск";false
918;15;"Днепродзержинск";false
919;15;"Желтые воды";false
920;15;"Кривой Рог";false
921;15;"Марганец";false
922;15;"Никополь";false
923;15;"Новомосковск";false
924;15;"Орджоникидзе";false
925;15;"Павлоград";false
926;15;"Первомайск";false
927;15;"Синельниково";false
928;15;"Терновка";false
929;16;"Авдеевка";false
930;16;"Артемовск";false
931;16;"Горловка";false
932;16;"Дебальцево";false
933;16;"Дзержинск";false
934;16;"Димитров";false
935;16;"Доброполье";false
936;16;"Докучаевск";false
937;16;"Дружковка";false
938;16;"Енакиево";false
939;16;"Ждановка";false
940;16;"Кировское";false
941;16;"Константиновка";false
942;16;"Краматорск";false
943;16;"Красный Лиман";false
944;16;"Красноармейск";false
945;16;"Макеевка";false
946;16;"Мариуполь";false
947;16;"Новоградовка";false
948;16;"Селидово";false
949;16;"Славянск";false
950;16;"Снежное";false
951;16;"Торез";false
952;16;"Угледар";false
953;16;"Харцызск";false
954;16;"Шахтерск";false
955;16;"Ясиноватая";false
956;11;"Житомир";false
957;11;"Бердичев";false
958;11;"Новоград-Волынский";false
959;11;"Коростень";false
960;11;"Малин";false
961;17;"Ужгород";false
962;17;"Берегово";false
963;17;"Мукачево";false
964;17;"Хуст";false
965;17;"Чоп";false
966;18;"Запорожье";false
967;18;"Бердянск";false
968;18;"Мелитополь";false
969;18;"Токмак";false
970;18;"Энергодар";false
971;19;"Ивано-Франковск";false
972;19;"Болехов";false
973;19;"Калуш";false
974;19;"Коломыя";false
975;19;"Яремче";false
976;8;"Березань";false
977;8;"Белая Церковь";false
978;8;"Бровары";false
979;8;"Васильков";false
980;8;"Ирпень";false
981;8;"Переяслав-Хмельницкий";false
983;8;"Ржищев";false
984;8;"Славутич";false
985;8;"Фастов";false
986;20;"Кировоград";false
987;20;"Александрия";false
988;20;"Знаменка";false
989;20;"Светловодск";false
990;21;"Луганск";false
991;21;"Алчевск";false
992;21;"Антрацит";false
993;21;"Брянка";false
994;21;"Кировск";false
995;21;"Краснодон";false
996;21;"Красный Луч";false
997;21;"Лисичанск";false
998;21;"Первомайск";false
999;21;"Ровеньки";false
1000;21;"Рубежное";false
1001;21;"Свердловск";false
1002;21;"Северодонецк";false
1003;21;"Стаханов";false
1004;10;"Львов";false
1005;10;"Борислав";false
1006;10;"Дрогобыч";false
1007;10;"Моршин";false
1008;10;"Новый Роздил";false
1009;10;"Самбор";false
1010;10;"Стрый";false
1011;10;"Трускавец";false
1012;10;"Червоноград";false
1013;22;"Николаев";false
1014;22;"Вознесенск";false
1015;22;"Очаков";false
1016;22;"Первомайск";false
1017;22;"Южноукраинск";false
1018;23;"Одесса";false
1019;23;"Белгород-Днестровский";false
1020;23;"Измаил";false
1021;23;"Ильичевск";false
1022;23;"Котовск";false
1023;23;"Теплодар";false
1024;23;"Южное";false
1025;24;"Полтава";false
1026;24;"Комсомольск";false
1027;24;"Кременчуг";false
1028;24;"Лубны";false
1029;24;"Миргород";false
1030;25;"Ривне";false
1031;25;"Дубно";false
1032;25;"Кузнецовск";false
1033;25;"Острог";false
1034;26;"Сумы";false
1035;26;"Ахтырка";false
1036;26;"Глухов";false
