"rid";"_cities_rid";"_cltypes_rid";"name";"logo";"address";"phones";"skype";"icq";"url";"isloaded";"actual_days";"price_email";"price_url";"creadits_info";"delivery_info";"worktime_info";"descr";"contact_phones";"contact_email";"contact_person";"createdt";"active";"popularity"
17;8;5;"Евросеть";"Евросеть";"111111";"80672424264";"";"476222743";"http://shop.evroset.ua";false;3;"";"";false;"Бесплатно курьером по Киеву.";"Пн.-Пт.с 9.00-18.00
Сб.-Вс. выходной";"Интернет-магазин «Евросеть» предлагает вам только качественную и сертифицированную в Украине продукцию ведущих мировых производителей по ОЧЕНЬ НИЗКИМ ЦЕНАМ. Всю информацию о интересующем вас  товаре вы можете посмотреть на нашем сайте www.shop.evroset.ua, узнать по телефону 80672424264, или по ICQ 476-222-743. Наши курьеры доставят товар в любую точку Киева абсолютно бесплатно*. Режим работы магазина: с понедельника по пятницу с 09:00 до 19:00. Заказывайте- не пожалеете!!!";"80672424264";"romeo4@ukr.net";"Руслан";[2008/01/15:09:58:06 PM];true;0
18;8;5;"Позвони.kiev.ua";"Позвони.kiev.ua";"1004";"10.11.331";"";"194029141";"http://www.pozvoni.kiev.ua";false;5;"";"";false;"Доставка по г. Киеву в течении рабочего дня (стоимость доставки 10 грн.).
Доставка по Украине осуществляется курьерскими службами \\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\""Автолюкс\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\"", \\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\""Гюнсел\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\"", \\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\""Ночной экспресс\\\\\\\\\\\\\\\\\\\\\\\\\\\\\";"Понедельник - Пятница : 09:00-19:00
Субота : 09:00-16:00";"Наша сервисно-торговая компания рада предложить Вам широкий ассортимент мобильных телефонов, смартфонов, коммуникаторов, КПК от мировых производителей. Также мы предлагаем аксессуары для мобильных телефонов: дата-кабели, гарнитуры Bluetooth, Bluetooth адаптеры, автомобильные и сетевые зарядные устройства, карты памяти и другие комплектующие. Мы предлагаем Вам товары только из официальных поставок с гарантийным обслуживанием в авторизованных сервисных центрах соответствующего производителя.";"10.11.331";"season@meta.ua";"Юлия";[2008/01/15:09:58:06 PM];true;0
20;8;5;"ИОН-Украина";"ИОН-Украина";"1001";"592-33-93, 592-33-83";"";"369251256";"http://www.ionua.com/";true;1;"";"http://www.ionua.com/parser/market_yandex.php";false;"Точная Доставка на следующий день в удобное для Вас время - Бесплатно
На сегодня, Если заказ оформлен до 13:00 - 15 грн.
Вечерняя, Доставка после 19:00 и до 22:00 тарифицируется как вечерняя - 20 грн.
Моментальная, доставим, если будет такая возможность, в течение 2х часов с момента оформления заказа - 30 грн.
Стоимость доставки за пределы Киева (в пределах Киевской области) - 2грн/км начиная от КПП.
Доставка по Украине: www.autolux.ua, www.nexpress.com.ua и www.gunsel.com.ua.";"Пон-Птн с 10 до 19.";"Продаем ноутбуки Asus, Fujitsu-Siemens, IBM, Sony, notebook Toshiba, notebook Acer, HP. Кпк Asus, HTC, E-ten, Gigabyte. Мобильные телефоны Nokia, SE, Samsung. ЖК мониторы. Дешевые мобильные телефоны. Просмотреть цены. Заказать и оформить бесплатную доставка по Киеву, Украине. продажа в Киеве, Украина.";"592-33-93, 592-33-83";"info@ionua.com";"Вячеслав";[2008/01/15:09:58:06 PM];true;0
21;8;5;"Эдера";"Эдера";"3150";"044 233-34-70";"";"294533501";"http://edera.com.ua";true;7;"";"http://edera.com.ua/yandex.php";false;"по Киеву Ваш заказ будет бесплатно доставлен нашей курьерской службой доставки.";"Пн-Сб, с 09-00 до 18-00.";"EDERA интернет магазин бытовой техники: Встраиваемая техника, стиральные машины, холодильники, кондиционеры, LCD телевизоры.";"044 233-34-70";"berenika@voliacable.com";"Хмельницкая Юлия";[2008/01/15:09:58:06 PM];false;0
22;1018;5;"uamobile";"uamobile";"65000";"8(048)798-25-54";"";"";"http://www.uamobile.com.ua";false;1;"";"www.uamobile.com.ua/price.xml";false;"есть - 20 грн";"9.00-19.00";"UAmobile.com.ua - Одесский интернет магазин по продаже мобильных, сотовых телефонов Nokia, Samsung, Sony-Ericsson, Motorola, Siemens, LG. Описания, характеристики, цены помогут выбрать сотовый телефон.Доставка по Одессе в день";"80503912812";"ika_d@ukr.net";"Igor";[2008/01/15:09:58:06 PM];true;0
23;8;5;"Сокол";"Сокол";"2154";"(044) 501 77 11";"";"";"http://www.sokol.ua";true;1;"";"http://www.sokol.org.ua/download/price/yamarket.xml";false;"Доставка осуществляется по Киеву и Украине.";"Прием заказов:	   9:00 - 19:00 Пн-Пт
10:00 - 14:00 Сб. 
Выдача товара:	10:00 - 19:00 Пн-Пт
13:30 - 14:00 Обед
10:00 - 14:00 Сб";"Сокол computers предлагает компьютеры, мониторы, принтеры, комплектующие, ноутбуки, фото-аудио-видео технику. Компьютерная техника по оптовым ценам. Доставка по Киеву и Украине.";"";"reva@sokol.ua";"Рева Светлана";[2008/01/16:11:42:18 AM];true;0
24;1178;5;"Цифрозон";"Цифрозон";"541541";"+8(926) 141-78-21";(null);(null);"http://www.cifrozone.ru";true;14;(null);"http://www.cifrozone.ru/xml.php";false;"доставка по Москве 150 руб";"с 10.00 до 20.00";"Интернет-магазин сотовых телефонов с доставкой по Москве!";(null);"mail@cifrozone.ru";"Вячеслав";[2008/01/22:10:13:59 PM];true;0
25;1299;4;"Сезар-Сервис";"Сезар-Сервис";"188640";"(812) 9700893";(null);(null);"http://www.notebookhp.ru";true;5;(null);"http://www.notebookhp.ru/yandex.php";false;"нет";"c 12 до 20, кроме понедельника";"Оптово-розничный магазин по продаже ноутбуков";(null);"mozharov78@yandex.ru";"Maxim";[2008/01/26:08:04:15 PM];true;0
26;8;4;"Белье и Купальники";"Белье и Купальники";"2068";"+38 044 562 5570";"";"";"http://www.intimo.com.ua";true;1;"";"http://www.djin.com.ua/export/saleinform.xml.php";false;"Курьерская доставка по Украине, доставка почтой, наложенный платеж, курьерская доставка DHL.";"Пн-Пт.: с 10-00 до 19-00 без обеда
Суббота.: с 10-00 до 17-00
Воскресенье: выходной.";"Женское нижнее белье, мужское белье, купальники, чулки, колготы, кофточки, силиконовый бюстгальтер, силиконовые и декоративные бретельки. Лучшие брэнды Италии и Испании: Leilieve, Pierre Cardin, Sielei, Lepel, Papillon, Laura Biagiotti, Lormar, Trasparenze, Lilly, Ory, Udy. Розничная и оптовая продажа белья и купальников.";"067 239 8550";"info@djin.com.ua";"Вадим Ошкало";[2008/02/01:12:22:05 PM];true;0
27;1299;5;"Мир Моделей";"Мир Моделей";"197341";"812-3350685";"";"340127";"http://www.modelsworld.ru/";true;1;"";"http://www.modelsworld.ru/shop/yandex.php";false;"EMS по России и ближнему зарубежью. По городу курьером.";"Ежедневно с 11.00 до 20.30 без обеда и выходных";"Мир Моделей! Все для моделизма. Стендовые, радиоуправляемые модели и модели железных дорог. Материалы и инструменты для моделизма.";"812-3350685";"sales@modelsworld.ru";"Дмитрий Ежов";[2008/02/01:12:48:27 PM];true;0
