"rid";"_countries_rid";"name";"archive";"display_name"
8;5;"Киевская область и город Киев";false;"Киевский"
9;5;"Черниговская область";false;"Черниговский"
10;5;"Львовская область";false;"Львовский"
11;5;"Житомирская область";false;"Житомирский"
12;5;"АР Крым";false;"Крым"
13;5;"Винницкая область";false;"Винницкий"
14;5;"Волынская область";false;"Волынский"
15;5;"Днепропетровская область";false;"Днепропетровский"
16;5;"Донецкая область";false;"Донецкий"
17;5;"Закарпатская область";false;"Закарпатский"
18;5;"Запорожская область";false;"Запорожский"
19;5;"Ивано-Франковская область";false;"Ивано-Франковский"
20;5;"Кировоградская область";false;"Кировоградский"
21;5;"Луганская область";false;"Луганский"
22;5;"Николаевская область";false;"Николаевский"
23;5;"Одесская область";false;"Одесский"
24;5;"Полтавская область";false;"Полтавский"
25;5;"Ровенская область";false;"Ровенский"
26;5;"Сумская область";false;"Сумской"
27;5;"Тернопольская область";false;"Тернопольский"
28;5;"Харьковская область";false;"Харьковский"
29;5;"Херсонская область";false;"Херсонский"
30;5;"Хмельницкая область";false;"Хмельницкий"
31;5;"Черкасская область";false;"Черкасский"
32;5;"Черновицкая область";false;"Черновицкий"
33;8;"Брестская область";false;"Брестский"
34;8;"Гродненская область";false;"Гродненский"
35;8;"Гомельская область";false;"Гомельский"
36;8;"Минская область";false;"Минский"
37;8;"Витебская область";false;"Витебский"
38;8;"Могилевская область";false;"Могилевский"
39;6;"Республика Адыгея";false;"Республика Адыгея"
40;6;"Агинский Бурятский АО ";false;"Агинский Бурятский АО "
41;6;"Алтайский край";false;"Алтайский край"
42;6;"Амурская область";false;"Амурская область"
43;6;"Архангельская область";false;"Архангельская область"
44;6;"Астраханская область";false;"Астраханская область"
45;6;"Белгородская область";false;"Белгородская область"
46;6;"Брянская область";false;"Брянская область"
47;6;"Владимирская область";false;"Владимирская область"
48;6;"Волгоградская область";false;"Волгоградская область"
49;6;"Воронежская область";false;"Воронежская область"
50;6;"Еврейская автономная область ";false;"Еврейская автономная область "
51;6;"Ивановская область";false;"Ивановская область"
52;6;"Иркутская область";false;"Иркутская область"
53;6;"Калининградская область";false;"Калининградская область"
54;6;"Калужская область";false;"Калужская область"
55;6;"Камчатская область";false;"Камчатская область"
56;6;"Карачаево-Черкесия";false;"Карачаево-Черкесия"
57;6;"Кемеровская область";false;"Кемеровская область"
58;6;"Кировская область";false;"Кировская область"
59;6;"Коми-Пермяцкий АО ";false;"Коми-Пермяцкий АО "
60;6;"Корякский АО ";false;"Корякский АО "
61;6;"Костромская область";false;"Костромская область"
62;6;"Краснодарский край";false;"Краснодарский край"
63;6;"Красноярский край";false;"Красноярский край"
64;6;"Курганская область";false;"Курганская область"
65;6;"Курская область";false;"Курская область"
66;6;"Ленинградская область";false;"Ленинградская область"
67;6;"Липецкая область";false;"Липецкая область"
68;6;"Магаданская область";false;"Магаданская область"
70;6;"Москва и область";false;"Москва и область"
71;6;"Мурманская область";false;"Мурманская область"
72;6;"Ненецкий АО ";false;"Ненецкий АО "
73;6;"Нижегородская область";false;"Нижегородская область"
74;6;"Новгородская область ";false;"Новгородская область "
75;6;"Новосибирская область ";false;"Новосибирская область "
76;6;"Омская область ";false;"Омская область "
77;6;"Оренбургская область ";false;"Оренбургская область "
78;6;"Орловская область ";false;"Орловская область "
79;6;"Пензенская область ";false;"Пензенская область "
